"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","100/2647","253/9370",0.395256916996047,1.39915274357875,4.03845675260125,5.84389175340687e-05,0.000342841649533203,NA,"2475/375/440738/10000/10163/100132074/3725/5293/1793/664/5599/80201/3098/51196/960/5331/823/5970/2017/643246/5829/3709/3678/7132/207/55072/4792/9252/5330/83660/5595/29108/113026/10241/55062/7157/10801/9267/57521/71/596/7311/826/208/9266/3661/718/3554/84812/55054/5581/3099/84557/10398/6714/10616/23236/5332/1399/5594/27128/10454/55964/6300/5600/3059/5580/4790/55752/5602/7416/340061/10318/3101/5601/2309/23118/3710/5603/6885/93408/653857/57180/10392/9844/51619/58498/26100/1956/60/9265/5879/25851/10552/5747/3551/81873/23048/7186/7094",100
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","46/2647","98/9370",0.469387755102041,1.66156526834383,4.13086553052734,5.98842498016587e-05,0.000344820681492102,NA,"10451/55616/10000/10163/5293/1793/1072/3636/9846/10810/207/100137049/123745/283748/5604/5595/5338/8877/1785/8612/23396/208/7408/274/3635/5581/8853/1399/5594/3985/5880/8398/5580/4651/8611/653857/57180/273/5879/3984/10552/50807/4067/81873/7410/8395",46
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","82/2647","200/9370",0.41,1.45134114091424,4.04834286439013,6.1116389742197e-05,0.000344820681492102,NA,"842/375/10163/149461/3725/840/5599/9632/355/2147/5970/2017/283446/84790/7009/4640/7132/5777/10810/9071/4792/10972/2353/23191/4643/5595/9080/29108/4641/4642/147179/10672/9267/10458/71/4645/9170/9138/9266/79784/3554/8440/7456/4691/6714/81027/26285/23562/7122/5594/4627/27128/10454/6300/5600/3059/10686/4790/100132463/5602/26999/4651/5601/100506658/2149/2534/23118/5603/6885/653857/57180/3569/2768/64005/60/9265/5879/10552/3551/137075/81873/7186",82
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","50/2647","109/9370",0.458715596330275,1.62378735837351,4.11019957966396,6.17150651534161e-05,0.000344820681492102,NA,"2475/11000/200186/5590/10000/5792/5293/5599/5507/90993/10062/5837/5970/1374/32/7132/207/4792/5170/6774/92579/6517/376497/208/7376/3643/1385/5581/5834/57761/5770/5105/5465/1375/5580/4790/10891/5602/28965/5601/9945/5562/6196/4846/51422/3569/51085/3551/10999/5524",50
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","35/2647","69/9370",0.507246376811594,1.7955793542594,4.16183887054559,6.30227452478785e-05,0.000346625098863332,NA,"10451/2207/10000/5293/240/5599/3265/9846/241/207/100137049/123745/283748/5604/5170/5595/5606/2885/5881/208/5605/5609/3635/5594/5880/6300/5600/5602/3937/5601/2534/5603/5879/4067/7410",35
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","38/2647","77/9370",0.493506493506494,1.74694213983976,4.12948972655088,6.73829896015731e-05,0.000364904805226981,NA,"2475/842/7042/10000/3716/5293/5599/1643/5970/595/5925/207/7043/5604/4088/5595/2064/6774/5338/7157/5881/4087/4089/208/5899/7039/1869/5594/5880/4790/5602/5601/7422/1956/5879/3551/5900/10912",38
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","69/2647","163/9370",0.423312883435583,1.49846683709536,4.02821864407881,7.12213210747829e-05,0.000379847045732176,NA,"842/7042/3339/10000/3725/3716/5293/5599/355/90993/1643/3265/3665/5970/6773/6778/317/5925/7187/207/4776/4792/2353/7043/5604/4088/5595/1387/4775/5606/6777/6776/6774/2885/7157/4089/596/4772/7297/3718/208/5605/3661/5609/1385/1869/6714/57506/637/5594/10454/2033/6300/5600/4790/7097/5602/5601/4214/23118/5603/6885/3569/1960/2185/3551/7419/9134/23586",69
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","60/2647","138/9370",0.434782608695652,1.53906801793663,4.00292309448792,8.35608940571757e-05,0.000433060205347561,NA,"2475/5313/5590/10000/5792/8569/5293/3632/5599/80201/3098/5507/10580/3265/5837/3636/32/207/801/399694/5604/7249/5170/5595/2319/92579/6517/2885/23265/57521/2194/5566/208/5605/25759/808/3643/3099/5834/5770/5105/1399/5594/5576/10891/5602/253314/3101/5601/5562/10603/6009/51422/2645/5260/5575/3551/2889/5568/53358",60
"Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","32/2647","62/9370",0.516129032258065,1.82702267935703,4.09946432395183,8.36593578512335e-05,0.000433060205347561,NA,"4853/1855/23013/388585/26508/1488/1840/9612/3714/5663/54567/7090/1387/2648/5986/79816/7089/10683/9253/6868/182/4242/2033/1857/3280/1487/3516/9794/4855/3955/113878/441478",32
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","71/2647","170/9370",0.417647058823529,1.47841063134736,3.9497845218103,9.40547314184229e-05,0.000479815441438911,NA,"2944/2949/2475/1855/7042/54361/10000/8289/5293/6934/3481/1643/3265/4041/595/81029/4257/7471/5925/207/8110/7043/399694/5604/4088/3480/8312/5595/7473/8313/2885/7157/71/4087/4089/9817/6597/8193/208/5605/25759/4780/8324/80326/7039/83439/1869/10587/5594/6598/25774/3162/7477/114112/7476/86/1857/1499/7474/51176/4258/2549/6932/57492/6604/1956/60/8326/6595/53358/10912",71
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","45/2647","97/9370",0.463917525773196,1.64220144181898,3.98922973942105,0.000101710101484478,0.000511456510321946,NA,"9722/2786/818/5331/4842/775/112/2784/196883/2353/801/9252/5330/8912/5595/115/113/51764/2793/8913/2905/5187/5566/6261/808/94235/2906/1385/8864/109/2778/23236/5332/5594/8911/776/815/108/3710/117/816/107/114/2902/5568",45
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","54/2647","122/9370",0.442622950819672,1.56682170350598,3.95407142733414,0.000105136708195811,0.000521241144858107,NA,"2475/4853/842/477/6258/54361/10000/1733/5293/5214/51196/486/3265/5331/595/488/53919/5213/207/4624/5330/5604/7249/5170/487/5595/1387/9862/2648/113026/3690/482/7157/71/5566/208/5605/478/10025/84812/6714/23236/5332/5594/2033/116931/7068/1499/4855/6009/60/9442/6256/5568",54
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","114/2647","299/9370",0.381270903010033,1.34964426188289,3.85546220839437,0.000111000072568732,0.000542667021447136,NA,"10451/55243/50848/8497/23114/6900/5362/10000/5792/5293/56288/5599/10580/6585/23705/5818/79827/64221/57689/6712/8500/5829/23085/1272/3742/84790/3678/23426/5777/207/56924/51332/342035/5604/1445/4916/57524/5170/5595/8506/4356/3690/2885/10458/71/9423/91768/1000/4155/3383/84063/10298/208/57731/5605/199731/5819/79784/5802/8440/3676/8828/3635/6711/85366/2036/10398/6714/84612/81027/81928/3785/3689/5594/4627/6300/5600/201633/4638/5361/80852/1499/9223/9901/287/5602/7204/3937/90249/5601/2534/2037/340156/5603/4897/5803/91584/26047/653857/57180/60/5879/10552/3786/5747/9046/137970/2260/4067/81873/6709/7410/9414/5789",114
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","63/2647","148/9370",0.425675675675676,1.5068307824258,3.89962923152894,0.00011909299472226,0.000574256632085418,NA,"2475/4853/1855/54361/10000/388585/26508/3725/5293/2253/6934/1643/3265/4041/595/81029/7471/5925/207/3714/2100/2353/54567/399694/5604/3480/8312/5595/2064/7473/8313/2885/7157/10683/208/5605/25759/27006/8324/80326/83439/182/1869/5594/7477/7476/1857/3280/1499/7474/51176/2247/3815/6932/2246/8817/4855/1956/8326/8822/2260/53358/10912",63
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","35/2647","71/9370",0.492957746478873,1.74499965413942,3.95374955580961,0.000132814590238603,0.000631766699513353,NA,"2475/4914/10000/5293/2263/5214/5979/80201/3098/3265/57103/5213/207/5604/5315/4916/5595/8140/2064/7157/9123/208/5605/51548/6510/3099/5594/2261/5156/3815/5159/3101/2645/1956/2260",35
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","87/2647","219/9370",0.397260273972603,1.40624433967635,3.81695585475117,0.000140764302136563,0.000660653791360938,NA,"4879/4881/51094/553/2786/3061/2981/2980/4352/1733/5293/150/2834/657/797/3481/1815/5331/4842/53919/112/269/2784/196883/6751/2100/5330/3480/6755/115/113/51764/2520/6777/6776/6774/1394/3690/2793/10672/4158/4089/5566/2767/2769/94235/3972/3643/30061/4880/51052/109/5443/3973/151/6754/2797/551/6714/2778/4987/23236/5332/6753/2847/7068/885/5745/5021/152/658/1816/154/147/108/2852/7434/2768/1395/2692/10268/107/114/148/5368/5568/9630",87
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","51/2647","116/9370",0.439655172413793,1.55631619399971,3.78292720023496,0.000198361119820826,0.000918725186538561,NA,"2786/2899/6512/2900/6506/5331/22941/775/3709/81539/112/2784/196883/5330/100137049/123745/283748/9455/5595/115/113/51764/5338/2793/2905/9229/773/5566/9454/2901/94235/2906/50944/109/2778/23236/5332/2897/5594/85358/2912/776/6507/108/3710/2914/107/114/2902/6505/5568",51
